supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_prob_category_1_percent,annual_prob_category_5_percent
The Hain Celestial Group,Fresh Innovation Centre,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.35%. Annual probability of Category 5 storm impact: 0.00%.,0.35%,0.0%
The Hain Celestial Group,Ella’s Kitchen HQ,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.35%. Annual probability of Category 5 storm impact: 0.00%.,0.35%,0.0%
The Hain Celestial Group,Natumi GmbH,Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
The Hain Celestial Group,Mona Naturprodukte (Joya),Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
The Hain Celestial Group,Cully & Sully,Tropical Storm,Low,High,High,Within 5 Years,All SSP scenarios consistently project Low risk. Annual probability of Category 1+ storm impact: 1.13%. Annual probability of Category 5 storm impact: 0.00%.,1.13%,0.0%
The Hain Celestial Group,Yorkshire Provender,Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.41%. Annual probability of Category 5 storm impact: 0.00%.,0.41%,0.0%
ZURU LLC.,ZURU Global HQ,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 75.53%. Annual probability of Category 5 storm impact: 5.82%.,75.53%,5.82%
ZURU LLC.,ZURU US Flagship Campus,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 77.88%. Annual probability of Category 5 storm impact: 0.00%.,77.88%,0.0%
ZURU LLC.,ZURU Shenzhen Hub,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 75.53%. Annual probability of Category 5 storm impact: 5.82%.,75.53%,5.82%
ZURU LLC.,ZURU Huizhou Smart Factory,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 65.05%. Annual probability of Category 5 storm impact: 2.46%.,65.05%,2.46%
ZURU LLC.,ZURU Guangzhou Plant,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 62.92%. Annual probability of Category 5 storm impact: 3.31%.,62.92%,3.31%
ZURU LLC.,ZURU New Zealand HQ,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 42.41%. Annual probability of Category 5 storm impact: 0.00%.,42.41%,0.0%
ZURU LLC.,ZURU Tech Italy (Modena),Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.10%. Annual probability of Category 5 storm impact: 0.00%.,0.1%,0.0%
ZURU LLC.,ZURU Tech India (Ahmedabad),Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.40%. Annual probability of Category 5 storm impact: 0.012%.,0.4%,0.012%
ZURU LLC.,ZURU Tech India (Kolkata),Tropical Storm,Very High,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from High to Very High reflecting uncertainty in future storm frequency and intensity. Projected intensification relative to baseline. Annual probability of Category 1+ storm impact: 10.24%. Annual probability of Category 5 storm impact: 0.75%.,10.24%,0.75%
ZURU LLC.,ZURU Bentonville Office,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 2.75%. Annual probability of Category 5 storm impact: 0.23%.,2.75%,0.23%
ZURU LLC.,ZURU Tech Italy (Milan),Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.10%. Annual probability of Category 5 storm impact: 0.00%.,0.1%,0.0%
ZURU LLC.,ZURU Dongguan Tech Center,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 62.92%. Annual probability of Category 5 storm impact: 3.31%.,62.92%,3.31%
John Paul Mitchell Systems,Global Headquarters,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 51.27%. Annual probability of Category 5 storm impact: 0.090%.,51.27%,0.09%
John Paul Mitchell Systems,JPMS Creative Center,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 51.27%. Annual probability of Category 5 storm impact: 0.090%.,51.27%,0.09%
John Paul Mitchell Systems,Santa Clarita DC,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 51.27%. Annual probability of Category 5 storm impact: 0.090%.,51.27%,0.09%
John Paul Mitchell Systems,The Awapuhi Farm,Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 15.91%. Annual probability of Category 5 storm impact: 7.94%.,15.91%,7.94%
John Paul Mitchell Systems,JPMS UK (Salon Success),Tropical Storm,Very Low,High,High,Within 5 Years,All SSP scenarios consistently project Very Low risk. Annual probability of Category 1+ storm impact: 0.73%. Annual probability of Category 5 storm impact: 0.00%.,0.73%,0.0%
John Paul Mitchell Systems,JPMS European Hub,Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
John Paul Mitchell Systems,Pro-motive (Subsidiary),Tropical Storm,Very High,High,High,Within 5 Years,All SSP scenarios consistently project Very High risk. Annual probability of Category 1+ storm impact: 51.27%. Annual probability of Category 5 storm impact: 0.090%.,51.27%,0.09%
John Paul Mitchell Systems,Distribution Center East,Tropical Storm,Low,High,High,Within 5 Years,All SSP scenarios consistently project Low risk. Annual probability of Category 1+ storm impact: 1.11%. Annual probability of Category 5 storm impact: 0.37%.,1.11%,0.37%
Natural Organics Inc.,Global Headquarters,Tropical Storm,Low,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Low to Medium reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 4.73%. Annual probability of Category 5 storm impact: 0.00%.,4.73%,0.0%
Natural Organics Inc.,Melville Manufacturing,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 4.73%. Annual probability of Category 5 storm impact: 0.00%.,4.73%,0.0%
Natural Organics Inc.,The Pharma-Lab,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 4.73%. Annual probability of Category 5 storm impact: 0.00%.,4.73%,0.0%
Natural Organics Inc.,Melville Distribution,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 4.73%. Annual probability of Category 5 storm impact: 0.00%.,4.73%,0.0%
Natural Organics Inc.,Amityville Facility,Tropical Storm,Medium,Medium,Medium,Within 5 Years,SSP scenarios project risk ranging from Medium to High reflecting uncertainty in future storm frequency and intensity. Annual probability of Category 1+ storm impact: 4.73%. Annual probability of Category 5 storm impact: 0.00%.,4.73%,0.0%
Natural Organics Inc.,Nature’s Plus UK,Tropical Storm,Very Low,Medium,Medium,Within 5 Years,SSP scenario projections indicate very low tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.32%. Annual probability of Category 5 storm impact: 0.00%.,0.32%,0.0%
Natural Organics Inc.,Euro-Nutrition Hub,Tropical Storm,Negligible,Medium,Medium,Within 5 Years,SSP scenario projections indicate negligible tropical storm risk over the 5-year horizon. Trend: Stable. Climate projections indicate potential intensification of storms without necessarily increasing frequency. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
