supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,annual_prob_category_1_percent,annual_prob_category_5_percent
ZURU LLC.,ZURU Guangzhou Plant,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 62.60%. Annual probability of Category 5 storm impact: 3.48%.,62.6%,3.48%
ZURU LLC.,ZURU New Zealand HQ,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 51.74%. Annual probability of Category 5 storm impact: 0.00%.,51.74%,0.0%
ZURU LLC.,ZURU Tech Italy (Modena),Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.10%. Annual probability of Category 5 storm impact: 0.00%.,0.1%,0.0%
ZURU LLC.,ZURU Tech India (Ahmedabad),Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.39%. Annual probability of Category 5 storm impact: 0.012%.,0.39%,0.012%
ZURU LLC.,ZURU Tech India (Kolkata),Tropical Storm,High,High,High,Baseline,Facility falls within a tropical storm risk zone (High Category 1+ risk). Annual probability of Category 1+ storm impact: 11.50%. Annual probability of Category 5 storm impact: 0.28%.,11.5%,0.28%
ZURU LLC.,ZURU Bentonville Office,Tropical Storm,Medium,High,High,Baseline,Facility falls within a tropical storm risk zone (Medium Category 1+ risk). Annual probability of Category 1+ storm impact: 2.36%. Annual probability of Category 5 storm impact: 0.092%.,2.36%,0.092%
ZURU LLC.,ZURU Tech Italy (Milan),Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.10%. Annual probability of Category 5 storm impact: 0.00%.,0.1%,0.0%
ZURU LLC.,ZURU Dongguan Tech Center,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 62.60%. Annual probability of Category 5 storm impact: 3.48%.,62.6%,3.48%
John Paul Mitchell Systems,Global Headquarters,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 39.54%. Annual probability of Category 5 storm impact: 0.12%.,39.54%,0.12%
John Paul Mitchell Systems,JPMS Creative Center,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 39.54%. Annual probability of Category 5 storm impact: 0.12%.,39.54%,0.12%
John Paul Mitchell Systems,Santa Clarita DC,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 39.54%. Annual probability of Category 5 storm impact: 0.12%.,39.54%,0.12%
John Paul Mitchell Systems,The Awapuhi Farm,Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 91.35%. Annual probability of Category 5 storm impact: 0.0058%.,91.35%,0.0058%
John Paul Mitchell Systems,JPMS UK (Salon Success),Tropical Storm,Very Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Very Low Category 1+ risk). Annual probability of Category 1+ storm impact: 0.90%. Annual probability of Category 5 storm impact: 0.00%.,0.9%,0.0%
John Paul Mitchell Systems,JPMS European Hub,Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
John Paul Mitchell Systems,Pro-motive (Subsidiary),Tropical Storm,Very High,High,High,Baseline,Facility falls within a tropical storm risk zone (Very High Category 1+ risk). Annual probability of Category 1+ storm impact: 39.54%. Annual probability of Category 5 storm impact: 0.12%.,39.54%,0.12%
John Paul Mitchell Systems,Distribution Center East,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 1.90%. Annual probability of Category 5 storm impact: 0.10%.,1.9%,0.1%
Natural Organics Inc.,Global Headquarters,Tropical Storm,Low,High,High,Baseline,Facility falls within a tropical storm risk zone (Low Category 1+ risk). Annual probability of Category 1+ storm impact: 5.10%. Annual probability of Category 5 storm impact: 0.00%.,5.1%,0.0%
Natural Organics Inc.,Melville Manufacturing,Tropical Storm,Medium,High,High,Baseline,Facility falls within a tropical storm risk zone (Medium Category 1+ risk). Annual probability of Category 1+ storm impact: 5.10%. Annual probability of Category 5 storm impact: 0.00%.,5.1%,0.0%
Natural Organics Inc.,The Pharma-Lab,Tropical Storm,Medium,High,High,Baseline,Facility falls within a tropical storm risk zone (Medium Category 1+ risk). Annual probability of Category 1+ storm impact: 5.10%. Annual probability of Category 5 storm impact: 0.00%.,5.1%,0.0%
Natural Organics Inc.,Melville Distribution,Tropical Storm,Medium,High,High,Baseline,Facility falls within a tropical storm risk zone (Medium Category 1+ risk). Annual probability of Category 1+ storm impact: 5.10%. Annual probability of Category 5 storm impact: 0.00%.,5.1%,0.0%
Natural Organics Inc.,Amityville Facility,Tropical Storm,Medium,High,High,Baseline,Facility falls within a tropical storm risk zone (Medium Category 1+ risk). Annual probability of Category 1+ storm impact: 5.10%. Annual probability of Category 5 storm impact: 0.00%.,5.1%,0.0%
Natural Organics Inc.,Nature’s Plus UK,Tropical Storm,Very Low,High,High,Baseline,Facility not included in the tropical storm probabilistic model dataset. Assessed as Very Low based on regional climatology. Annual probability of Category 1+ storm impact: 0.32%. Annual probability of Category 5 storm impact: 0.00%.,0.32%,0.0%
Natural Organics Inc.,Euro-Nutrition Hub,Tropical Storm,Negligible,High,High,Baseline,Facility is located in a region where tropical storm occurrence is climatologically negligible (high-latitude continental Europe). No meaningful Category 1+ storm exposure. Annual probability of Category 1+ storm impact: 0.00%. Annual probability of Category 5 storm impact: 0.00%.,0.0%,0.0%
